PlanName,Frequency,TargetAmount,HasInterest,TotalSavings,IsActive,LastSavingsAmount,LastSavingsDate,AutoSave,SavingStartDate,ShouldLockSavings,LockDuration,LastWithdrawalDate,LastWithdrawalAmount,MaturityDate,SavingAmount,Accruedinterest,LastInterestPaidDate,AccruedInterestPercentage,NextAutoSaveDate,NextWithdrawalDate,MaturityDays,HasMatured
Marriage,,10000,True,10047.91,True,10000,04-04-2024 09:49:12,False,04-04-2024 09:49:12,True,30,,,01-05-2024,10000,,,,,,30,False
T,,10000,True,10047.91,True,10000,04-04-2024 10:28:57,False,04-04-2024 10:28:57,True,30,,,01-05-2024,10000,,,,,,30,False
Testing ,,10000,True,10095.83,True,10000,04-04-2024 11:41:33,False,04-04-2024 11:41:33,True,60,,,01-06-2024,10000,,,,,,60,False
Testing ,,10000,True,10095.83,True,10000,04-04-2024 11:41:39,False,04-04-2024 11:41:39,True,60,,,01-06-2024,10000,,,,,,60,False
Testing ,,10000,True,10095.83,True,10000,04-04-2024 11:42:02,False,04-04-2024 11:42:02,True,60,,,01-06-2024,10000,,,,,,60,False
Testing ,,10000,True,10095.83,True,10000,04-04-2024 11:42:39,False,04-04-2024 11:42:39,True,60,,,01-06-2024,10000,,,,,,60,False
Testing ,,10000,True,10095.83,True,10000,04-04-2024 11:43:09,False,04-04-2024 11:43:09,True,60,,,01-06-2024,10000,,,,,,60,False
new,,20000,True,20575.01,True,20000,04-04-2024 11:44:49,False,04-04-2024 11:44:49,True,180,,,01-10-2024,20000,,,,,,180,False
testing,,10000,True,10095.83,True,10000,04-04-2024 11:48:38,False,04-04-2024 11:48:38,True,60,,,01-06-2024,10000,,,,,,60,False
urur,,20000,True,20095.83,True,20000,04-04-2024 11:52:24,False,04-04-2024 11:52:24,True,30,,,01-05-2024,20000,,,,,,30,False
New Test Plan,,30000.0,True,30287.5,True,30000.0,04-04-2024 15:48:00,False,04-04-2024 15:48:00,True,60,,,01-06-2024,30000.0,,,,,,60,False
New Test,,25000.0,True,25119.79,True,25000.0,04-04-2024 16:46:04,False,04-04-2024 16:46:04,True,30,,,01-05-2024,25000.0,,,,,,30,False
testinging,,19985,True,20559.58,True,19985,04-04-2024 11:53:17,False,04-04-2024 11:53:17,True,180,,,01-10-2024,19985,,,,,,180,False
Gee Plan,,1000,True,1004.79,True,1000,08-04-2024 11:14:38,False,08-04-2024 11:14:38,True,30,,,01-05-2024,1000,,,,,,30,False
Exam Plan,,1500,True,1521.56,True,1500,08-04-2024 11:31:27,False,08-04-2024 11:31:27,True,90,,,01-07-2024,1500,,,,,,90,False
Flex,,1000.0,True,1004.79,True,1000.0,08-04-2024 13:56:42,False,08-04-2024 13:56:42,True,30,,,01-05-2024,1000.0,,,,,,30,False
Data,,2000.0,True,2019.17,True,2000.0,08-04-2024 16:37:01,False,08-04-2024 16:37:01,True,60,,,01-06-2024,2000.0,,,,,,60,False
Minnie Plan,,1200,True,1205.75,True,1200,08-04-2024 16:54:00,False,08-04-2024 16:54:00,True,30,,,01-05-2024,1200,,,,,,30,False
Car,,1000,True,1004.79,True,1000,08-04-2024 19:37:06,False,08-04-2024 19:37:06,True,30,,,01-05-2024,1000,,,,,,30,False
Grocery,,1000,True,1004.79,True,1000,08-04-2024 19:38:13,False,08-04-2024 19:38:13,True,30,,,01-05-2024,1000,,,,,,30,False
Rent,,197,True,197.94,True,197,29-04-2024 11:30:47,False,29-04-2024 11:30:47,True,30,,,01-05-2024,197,,,,,,30,False
