"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 08 15:31:30 GMT 2024","Tue Oct 08 15:31:31 GMT 2024","189","Business APIs - QA","Passwords (Business)","change","","","Change Password - Incorrect old password",""
"passed","Tue Oct 08 15:31:32 GMT 2024","Tue Oct 08 15:31:33 GMT 2024","790","Business APIs - QA","pin","create-pin","","","Create Pin - Valid Matching PIN",""
"passed","Tue Oct 08 15:31:34 GMT 2024","Tue Oct 08 15:31:35 GMT 2024","417","Business APIs - QA","pin","change-pin","","","Change PIN - Old=New PIN",""
"passed","Tue Oct 08 15:31:31 GMT 2024","Tue Oct 08 15:31:31 GMT 2024","207","Business APIs - QA","Passwords (Business)","change","","","Change Password - Blank confirm password field",""
"passed","Tue Oct 08 15:31:28 GMT 2024","Tue Oct 08 15:31:29 GMT 2024","163","Business APIs - QA","Passwords (Business)","forgot","","","Forgot Password - Blank email field",""
"passed","Tue Oct 08 15:31:36 GMT 2024","Tue Oct 08 15:31:36 GMT 2024","434","Business APIs - QA","pin","forgot-pin","","","Forgot PIN - Valid access",""
"failed","Tue Oct 08 15:31:26 GMT 2024","Tue Oct 08 15:31:26 GMT 2024","216","Business APIs - QA","Director","invite","","","Invite stakeholder - Invalid email",""
"passed","Tue Oct 08 15:31:22 GMT 2024","Tue Oct 08 15:31:22 GMT 2024","184","Business APIs - QA","Onboarding (Business)","Sign Up","","","Signup - Invalid Password",""
"passed","Tue Oct 08 15:32:11 GMT 2024","Tue Oct 08 15:32:11 GMT 2024","139","Business APIs - QA","Transfers","Bulk Transfer","","","Invalid Account Details for one transfer",""
"passed","Tue Oct 08 15:32:18 GMT 2024","Tue Oct 08 15:32:18 GMT 2024","148","Business APIs - QA","Manage Team Member","accept-team-invite","","","Expired invite",""
"passed","Tue Oct 08 15:32:00 GMT 2024","Tue Oct 08 15:32:00 GMT 2024","188","Business APIs - QA","Bill Payment","Buy Airtime","","","Invalid Amount",""
"failed","Tue Oct 08 15:32:10 GMT 2024","Tue Oct 08 15:32:10 GMT 2024","418","Business APIs - QA","Transfers","Bulk Transfer","","","Successful Bulk transfer",""
"passed","Tue Oct 08 15:31:19 GMT 2024","Tue Oct 08 15:31:20 GMT 2024","882","Business APIs - QA","Onboarding (Business)","Sign Up","","","Signup - Successful",""
"failed","Tue Oct 08 15:31:25 GMT 2024","Tue Oct 08 15:31:25 GMT 2024","148","Business APIs - QA","Director","invite","","","Invite stakeholder - Number as name Copy",""
"failed","Tue Oct 08 15:31:30 GMT 2024","Tue Oct 08 15:31:30 GMT 2024","178","Business APIs - QA","Passwords (Business)","reset","","","Reset Password - Mismatched password",""
"passed","Tue Oct 08 15:32:16 GMT 2024","Tue Oct 08 15:32:16 GMT 2024","147","Business APIs - QA","Account","Create account","","","Create Account - Blank account type",""
"failed","Tue Oct 08 15:31:26 GMT 2024","Tue Oct 08 15:31:26 GMT 2024","167","Business APIs - QA","Director","invite","","","Invite stakeholder - Blank stakeholder",""
"passed","Tue Oct 08 15:32:18 GMT 2024","Tue Oct 08 15:32:18 GMT 2024","166","Business APIs - QA","Manage Team Member","invite-team","","","Blank fied",""
"passed","Tue Oct 08 15:31:39 GMT 2024","Tue Oct 08 15:31:40 GMT 2024","1048","Business APIs - QA","Bill Payment","Bill Payment - Login","","","Get Account",""
"failed","Tue Oct 08 15:31:51 GMT 2024","Tue Oct 08 15:31:53 GMT 2024","1796","Business APIs - QA","Bill Payment","Buy Electricity tokens","","","Invalid meter number",""
"failed","Tue Oct 08 15:32:11 GMT 2024","Tue Oct 08 15:32:11 GMT 2024","472","Business APIs - QA","Transfers","Bulk Transfer","","","Schedule Bulk Transfer",""
"passed","Tue Oct 08 15:31:28 GMT 2024","Tue Oct 08 15:31:28 GMT 2024","213","Business APIs - QA","Login to a Business","Sign In","","","Signin - Blank username","Get Auth Token"
"failed","Tue Oct 08 15:31:30 GMT 2024","Tue Oct 08 15:31:30 GMT 2024","186","Business APIs - QA","Passwords (Business)","reset","","","Reset Password - Invalid reset token",""
"failed","Tue Oct 08 15:31:38 GMT 2024","Tue Oct 08 15:31:39 GMT 2024","378","Business APIs - QA","pin","reset-pin","","","Reset PIN - Expired OTP",""
"failed","Tue Oct 08 15:31:28 GMT 2024","Tue Oct 08 15:31:28 GMT 2024","186","Business APIs - QA","Passwords (Business)","forgot","","","Forgot Password - Valid email",""
"passed","Tue Oct 08 15:31:30 GMT 2024","Tue Oct 08 15:31:30 GMT 2024","173","Business APIs - QA","Passwords (Business)","reset","","","Reset Password - Blank reset token",""
"passed","Tue Oct 08 15:32:03 GMT 2024","Tue Oct 08 15:32:04 GMT 2024","1575","Business APIs - QA","Transfers","Intra Transfer","","","Successful Intra Transfer",""
"failed","Tue Oct 08 15:31:22 GMT 2024","Tue Oct 08 15:31:22 GMT 2024","205","Business APIs - QA","Onboarding (Business)","Sign Up","","","Signup - Invalid countrycode",""
"failed","Tue Oct 08 15:32:08 GMT 2024","Tue Oct 08 15:32:08 GMT 2024","368","Business APIs - QA","Transfers","Schedule","","","Successful Schedule",""
"passed","Tue Oct 08 15:32:21 GMT 2024","Tue Oct 08 15:32:21 GMT 2024","172","Business APIs - QA","Security questions","Get randomize security-questions","","","randomize security-questions- no token",""
"passed","Tue Oct 08 15:32:18 GMT 2024","Tue Oct 08 15:32:19 GMT 2024","173","Business APIs - QA","Manage Team Member","accept-team-invite","","","Incorrect invite ID",""
"passed","Tue Oct 08 15:31:28 GMT 2024","Tue Oct 08 15:31:28 GMT 2024","183","Business APIs - QA","Passwords (Business)","forgot","","","Forgot Password - Invalid email",""
"passed","Tue Oct 08 15:32:23 GMT 2024","Tue Oct 08 15:32:23 GMT 2024","207","Business APIs - QA","Sms opt in-and-out","Login to a Business Copy > Sign In","","","Signin - Blank username","Get Auth Token"
"passed","Tue Oct 08 15:31:33 GMT 2024","Tue Oct 08 15:31:34 GMT 2024","393","Business APIs - QA","pin","Verify-pin","","","Verify Pin - Invalid PIN",""
"failed","Tue Oct 08 15:32:23 GMT 2024","Tue Oct 08 15:32:23 GMT 2024","164","Business APIs - QA","Sms opt in-and-out","","","","SMS-Opt-In-And-Out",""
"passed","Tue Oct 08 15:32:00 GMT 2024","Tue Oct 08 15:32:01 GMT 2024","197","Business APIs - QA","Bill Payment","Buy Airtime","","","Invalid phone number",""
"passed","Tue Oct 08 15:32:19 GMT 2024","Tue Oct 08 15:32:19 GMT 2024","189","Business APIs - QA","Manage Team Member","Business Team","","","View Business team",""
"passed","Tue Oct 08 15:31:29 GMT 2024","Tue Oct 08 15:31:29 GMT 2024","257","Business APIs - QA","Passwords (Business)","resendotp","","","Resendotp - Blank email field",""
"passed","Tue Oct 08 15:31:30 GMT 2024","Tue Oct 08 15:31:30 GMT 2024","150","Business APIs - QA","Passwords (Business)","reset","","","Reset Password - Blank password",""
"passed","Tue Oct 08 15:31:55 GMT 2024","Tue Oct 08 15:31:57 GMT 2024","1829","Business APIs - QA","Bill Payment","Bet Funding","","","Successful Bet Account Funding",""
"passed","Tue Oct 08 15:32:07 GMT 2024","Tue Oct 08 15:32:07 GMT 2024","147","Business APIs - QA","Transfers","Inter Transfer","","","Send transfer without validating schedule details",""
"passed","Tue Oct 08 15:31:26 GMT 2024","Tue Oct 08 15:31:27 GMT 2024","240","Business APIs - QA","Login to a Business","Sign In","","","Signin - Valid details - Larry","Get Auth Token"
"passed","Tue Oct 08 15:31:29 GMT 2024","Tue Oct 08 15:31:29 GMT 2024","186","Business APIs - QA","Passwords (Business)","reset","","","Reset Password - Invalid email",""
"passed","Tue Oct 08 15:32:12 GMT 2024","Tue Oct 08 15:32:12 GMT 2024","171","Business APIs - QA","Transfers","File Bulk Transfer > process-transfer","","","Invalid pin",""
"passed","Tue Oct 08 15:31:38 GMT 2024","Tue Oct 08 15:31:38 GMT 2024","154","Business APIs - QA","pin","reset-pin","","","Reset PIN - Blank OTP",""
"failed","Tue Oct 08 15:31:23 GMT 2024","Tue Oct 08 15:31:23 GMT 2024","174","Business APIs - QA","Onboarding (Business)","Sign Up","","","Signup - Existing email",""
"passed","Tue Oct 08 15:31:38 GMT 2024","Tue Oct 08 15:31:38 GMT 2024","184","Business APIs - QA","pin","reset-pin","","","Reset PIN - Invalid OTP",""
