"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","219","Blank meter number","Business APIs - QA","Tue Nov 26 12:02:51 GMT 2024","passed","Tue Nov 26 12:02:51 GMT 2024","Buy Electricity tokens","Bill Payment","",""
"","253","Reset Password - Invalid reset token","Business APIs - QA","Tue Nov 26 12:02:28 GMT 2024","failed","Tue Nov 26 12:02:28 GMT 2024","reset","Passwords (Business)","",""
"Get Auth Token","359","Signin - Valid details","Business APIs - QA","Tue Nov 26 12:02:16 GMT 2024","passed","Tue Nov 26 12:02:16 GMT 2024","invite","Director","",""
"","2016","Successful Data Purchase","Business APIs - QA","Tue Nov 26 12:02:40 GMT 2024","passed","Tue Nov 26 12:02:42 GMT 2024","Buy Data","Bill Payment","",""
"","1482","Successful Bet Account Funding","Business APIs - QA","Tue Nov 26 12:02:54 GMT 2024","passed","Tue Nov 26 12:02:55 GMT 2024","Bet Funding","Bill Payment","",""
"","215","Airtime purchase with negative amount","Business APIs - QA","Tue Nov 26 12:02:58 GMT 2024","passed","Tue Nov 26 12:02:59 GMT 2024","Buy Airtime","Bill Payment","",""
"","494","Verify email - Blank OTP field","Business APIs - QA","Tue Nov 26 12:02:15 GMT 2024","passed","Tue Nov 26 12:02:16 GMT 2024","Verify Email","Onboarding (Business)","",""
"","202","Invalid Name Equiry Request ID","Business APIs - QA","Tue Nov 26 12:03:15 GMT 2024","passed","Tue Nov 26 12:03:15 GMT 2024","Inter Transfer","Transfers","",""
"","391","/api/v1/transfer/bulk/download-bank-codes","Business APIs - QA","Tue Nov 26 12:03:27 GMT 2024","passed","Tue Nov 26 12:03:27 GMT 2024","File Bulk Transfer > download-bank-codes","Transfers","",""
"","755","Invalid Pin","Business APIs - QA","Tue Nov 26 12:03:07 GMT 2024","failed","Tue Nov 26 12:03:07 GMT 2024","Intra Transfer","Transfers","",""
"","436","Invite stakeholder - Blank name","Business APIs - QA","Tue Nov 26 12:02:17 GMT 2024","passed","Tue Nov 26 12:02:18 GMT 2024","invite","Director","",""
"","350","Signup - Invalid countrycode","Business APIs - QA","Tue Nov 26 12:02:11 GMT 2024","failed","Tue Nov 26 12:02:12 GMT 2024","Sign Up","Onboarding (Business)","",""
"","191","randomize security-questions- no token","Business APIs - QA","Tue Nov 26 12:03:40 GMT 2024","passed","Tue Nov 26 12:03:41 GMT 2024","Get randomize security-questions","Security questions","",""
"","460","Verify OTP - Invalid OTP","Business APIs - QA","Tue Nov 26 12:02:36 GMT 2024","passed","Tue Nov 26 12:02:37 GMT 2024","Verify-otp","pin","",""
"","582","Automate Recurring Transfer","Business APIs - QA","Tue Nov 26 12:03:18 GMT 2024","failed","Tue Nov 26 12:03:18 GMT 2024","Schedule","Transfers","",""
"","926","Signup - Blank username","Business APIs - QA","Tue Nov 26 12:02:10 GMT 2024","passed","Tue Nov 26 12:02:11 GMT 2024","Sign Up","Onboarding (Business)","",""
"","257","Forgot Password - Valid email","Business APIs - QA","Tue Nov 26 12:02:26 GMT 2024","failed","Tue Nov 26 12:02:26 GMT 2024","forgot","Passwords (Business)","",""
"","542","Invalid Name Enquiry Request ID","Business APIs - QA","Tue Nov 26 12:03:07 GMT 2024","passed","Tue Nov 26 12:03:08 GMT 2024","Intra Transfer","Transfers","",""
"","203","Invalid phone number","Business APIs - QA","Tue Nov 26 12:02:59 GMT 2024","passed","Tue Nov 26 12:03:00 GMT 2024","Buy Airtime","Bill Payment","",""
"","1034","Sucessful transfer","Business APIs - QA","Tue Nov 26 12:03:23 GMT 2024","failed","Tue Nov 26 12:03:24 GMT 2024","File Bulk Transfer > process-transfer","Transfers","",""
"","1889","Activate/Deactivate user","Business APIs - QA","Tue Nov 26 12:03:37 GMT 2024","passed","Tue Nov 26 12:03:39 GMT 2024","Activate/Deactivate User","Manage Team Member","",""
"","243","Reset Password - Invalid email","Business APIs - QA","Tue Nov 26 12:02:28 GMT 2024","failed","Tue Nov 26 12:02:28 GMT 2024","reset","Passwords (Business)","",""
"","238","Invite stakeholder - Blank email","Business APIs - QA","Tue Nov 26 12:02:19 GMT 2024","passed","Tue Nov 26 12:02:19 GMT 2024","invite","Director","",""
"","557","Create Pin - Unverified OTP","Business APIs - QA","Tue Nov 26 12:02:32 GMT 2024","failed","Tue Nov 26 12:02:33 GMT 2024","create-pin","pin","",""
"","273","Change PIN - Mismatched new PIN","Business APIs - QA","Tue Nov 26 12:02:35 GMT 2024","passed","Tue Nov 26 12:02:35 GMT 2024","change-pin","pin","",""
"Get Auth Token","338","pin - Login","Business APIs - QA","Tue Nov 26 12:02:31 GMT 2024","passed","Tue Nov 26 12:02:31 GMT 2024","Login","pin","",""
"","204","Record not found","Business APIs - QA","Tue Nov 26 12:03:36 GMT 2024","passed","Tue Nov 26 12:03:36 GMT 2024","revoke-team-invite","Manage Team Member","",""
"","314","Change Password - Incorrect old password","Business APIs - QA","Tue Nov 26 12:02:29 GMT 2024","passed","Tue Nov 26 12:02:30 GMT 2024","change","Passwords (Business)","",""
"","221","Change Password - Blank old password field","Business APIs - QA","Tue Nov 26 12:02:30 GMT 2024","passed","Tue Nov 26 12:02:30 GMT 2024","change","Passwords (Business)","",""
"","387","Signup - Numbers in name field","Business APIs - QA","Tue Nov 26 12:02:08 GMT 2024","failed","Tue Nov 26 12:02:08 GMT 2024","Sign Up","Onboarding (Business)","",""
"","235","Signup - Blank password","Business APIs - QA","Tue Nov 26 12:02:13 GMT 2024","passed","Tue Nov 26 12:02:14 GMT 2024","Sign Up","Onboarding (Business)","",""
"","434","Reset PIN - Expired OTP","Business APIs - QA","Tue Nov 26 12:02:38 GMT 2024","failed","Tue Nov 26 12:02:38 GMT 2024","reset-pin","pin","",""
"","628","FX transfer","Business APIs - QA","Tue Nov 26 12:03:27 GMT 2024","passed","Tue Nov 26 12:03:28 GMT 2024","Fx Transfer","Transfers","",""
"","950","SMS-Opt-In-And-Out","Business APIs - QA","Tue Nov 26 12:03:41 GMT 2024","passed","Tue Nov 26 12:03:42 GMT 2024","","Sms opt in-and-out","",""
"Get Auth Token","290","Bill Payment - Login","Business APIs - QA","Tue Nov 26 12:02:39 GMT 2024","passed","Tue Nov 26 12:02:39 GMT 2024","Bill Payment - Login","Bill Payment","",""
"","207","Invalid Account Number","Business APIs - QA","Tue Nov 26 12:03:16 GMT 2024","passed","Tue Nov 26 12:03:16 GMT 2024","Inter Transfer","Transfers","",""
"","217","Mismatched password","Business APIs - QA","Tue Nov 26 12:03:35 GMT 2024","passed","Tue Nov 26 12:03:35 GMT 2024","accept-team-invite","Manage Team Member","",""
"","1974","Successful prepaid token purchase","Business APIs - QA","Tue Nov 26 12:02:47 GMT 2024","failed","Tue Nov 26 12:02:49 GMT 2024","Buy Electricity tokens","Bill Payment","",""
"","479","Invalid Account Number","Business APIs - QA","Tue Nov 26 12:02:56 GMT 2024","passed","Tue Nov 26 12:02:57 GMT 2024","Bet Funding","Bill Payment","",""
"","1577","Successful Airtime Purchase","Business APIs - QA","Tue Nov 26 12:02:57 GMT 2024","passed","Tue Nov 26 12:02:58 GMT 2024","Buy Airtime","Bill Payment","",""
"","279","Verify Pin - Invalid PIN length","Business APIs - QA","Tue Nov 26 12:02:33 GMT 2024","failed","Tue Nov 26 12:02:34 GMT 2024","Verify-pin","pin","",""
"Get Auth Token","280","Signin - Blank password","Business APIs - QA","Tue Nov 26 12:02:25 GMT 2024","failed","Tue Nov 26 12:02:26 GMT 2024","Sign In","Login to a Business","",""
"","247","Change Password - Blank new password field","Business APIs - QA","Tue Nov 26 12:02:30 GMT 2024","passed","Tue Nov 26 12:02:30 GMT 2024","change","Passwords (Business)","",""
"","388","View Business team","Business APIs - QA","Tue Nov 26 12:03:37 GMT 2024","passed","Tue Nov 26 12:03:37 GMT 2024","Business Team","Manage Team Member","",""
"","894","Signup - Existing username","Business APIs - QA","Tue Nov 26 12:02:08 GMT 2024","failed","Tue Nov 26 12:02:09 GMT 2024","Sign Up","Onboarding (Business)","",""
"","1131","Get Account","Business APIs - QA","Tue Nov 26 12:03:30 GMT 2024","passed","Tue Nov 26 12:03:31 GMT 2024","Get account","Account","",""
"","203","Invalid Amount","Business APIs - QA","Tue Nov 26 12:02:59 GMT 2024","passed","Tue Nov 26 12:02:59 GMT 2024","Buy Airtime","Bill Payment","",""
"","1767","Successful epin","Business APIs - QA","Tue Nov 26 12:02:52 GMT 2024","passed","Tue Nov 26 12:02:54 GMT 2024","Buy Educational content","Bill Payment","",""
"","227","Successful Schedule - Negative amount","Business APIs - QA","Tue Nov 26 12:03:18 GMT 2024","passed","Tue Nov 26 12:03:18 GMT 2024","Schedule","Transfers","",""
"","2954","Successful Intra Transfer","Business APIs - QA","Tue Nov 26 12:03:03 GMT 2024","passed","Tue Nov 26 12:03:06 GMT 2024","Intra Transfer","Transfers","",""
"","256","Signup - All blank field","Business APIs - QA","Tue Nov 26 12:02:12 GMT 2024","passed","Tue Nov 26 12:02:12 GMT 2024","Sign Up","Onboarding (Business)","",""
"","224","Verify Pin - Blank PIN field","Business APIs - QA","Tue Nov 26 12:02:33 GMT 2024","passed","Tue Nov 26 12:02:33 GMT 2024","Verify-pin","pin","",""
"","1298","Invite stakeholder - Blank RC number","Business APIs - QA","Tue Nov 26 12:02:18 GMT 2024","passed","Tue Nov 26 12:02:19 GMT 2024","invite","Director","",""
"","997","Verify email - Invalid OTP","Business APIs - QA","Tue Nov 26 12:02:14 GMT 2024","passed","Tue Nov 26 12:02:15 GMT 2024","Verify Email","Onboarding (Business)","",""
"","2226","New Beneficiary","Business APIs - QA","Tue Nov 26 12:03:00 GMT 2024","passed","Tue Nov 26 12:03:02 GMT 2024","Beneficiaries","Transfers","",""
"","228","Create Pin - Mismatched PIN","Business APIs - QA","Tue Nov 26 12:02:32 GMT 2024","passed","Tue Nov 26 12:02:32 GMT 2024","create-pin","pin","",""
"","416","Change PIN - Old=New PIN","Business APIs - QA","Tue Nov 26 12:02:34 GMT 2024","passed","Tue Nov 26 12:02:34 GMT 2024","change-pin","pin","",""
"","226","Forgot PIN - No access","Business APIs - QA","Tue Nov 26 12:02:36 GMT 2024","passed","Tue Nov 26 12:02:36 GMT 2024","forgot-pin","pin","",""
"","218","Send without validating scheduling details","Business APIs - QA","Tue Nov 26 12:03:08 GMT 2024","passed","Tue Nov 26 12:03:08 GMT 2024","Intra Transfer","Transfers","",""
"","1469","Successful Data Purchase Copy","Business APIs - QA","Tue Nov 26 12:02:42 GMT 2024","passed","Tue Nov 26 12:02:44 GMT 2024","Buy Data","Bill Payment","",""
"Get Auth Token","397","Signin - Invalid password","Business APIs - QA","Tue Nov 26 12:02:25 GMT 2024","passed","Tue Nov 26 12:02:25 GMT 2024","Sign In","Login to a Business","",""
"","420","Verify Pin - Invalid PIN","Business APIs - QA","Tue Nov 26 12:02:33 GMT 2024","failed","Tue Nov 26 12:02:33 GMT 2024","Verify-pin","pin","",""
"","234","randomize security-questions- Valid details","Business APIs - QA","Tue Nov 26 12:03:40 GMT 2024","passed","Tue Nov 26 12:03:40 GMT 2024","Get randomize security-questions","Security questions","",""
"Get Auth Token","310","Signin - Valid details","Business APIs - QA","Tue Nov 26 12:02:25 GMT 2024","passed","Tue Nov 26 12:02:25 GMT 2024","Sign In","Login to a Business","",""
"","238","Invalid channel","Business APIs - QA","Tue Nov 26 12:03:25 GMT 2024","passed","Tue Nov 26 12:03:25 GMT 2024","File Bulk Transfer > process-transfer","Transfers","",""
"","205","Invalid Name  Equiry request ID","Business APIs - QA","Tue Nov 26 12:03:19 GMT 2024","passed","Tue Nov 26 12:03:19 GMT 2024","Schedule","Transfers","",""
"","367","Verify OTP - Valid OTP","Business APIs - QA","Tue Nov 26 12:02:36 GMT 2024","failed","Tue Nov 26 12:02:36 GMT 2024","Verify-otp","pin","",""
"","5783","Successful Inter Transfer","Business APIs - QA","Tue Nov 26 12:03:09 GMT 2024","passed","Tue Nov 26 12:03:15 GMT 2024","Inter Transfer","Transfers","",""
"","226","Invalid phone number","Business APIs - QA","Tue Nov 26 12:02:46 GMT 2024","passed","Tue Nov 26 12:02:46 GMT 2024","Buy Data","Bill Payment","",""
"","326","Successful Intra Transfer - Negative amount","Business APIs - QA","Tue Nov 26 12:03:06 GMT 2024","passed","Tue Nov 26 12:03:07 GMT 2024","Intra Transfer","Transfers","",""
"","223","Change PIN - Generic PIN","Business APIs - QA","Tue Nov 26 12:02:34 GMT 2024","passed","Tue Nov 26 12:02:34 GMT 2024","change-pin","pin","",""
"","245","Reset Password - Blank password","Business APIs - QA","Tue Nov 26 12:02:29 GMT 2024","failed","Tue Nov 26 12:02:29 GMT 2024","reset","Passwords (Business)","",""
"","237","Wrong bundle amount (Less than)","Business APIs - QA","Tue Nov 26 12:02:44 GMT 2024","passed","Tue Nov 26 12:02:44 GMT 2024","Buy Data","Bill Payment","",""
"","874","Schedule Bulk Transfer","Business APIs - QA","Tue Nov 26 12:03:22 GMT 2024","failed","Tue Nov 26 12:03:23 GMT 2024","Bulk Transfer","Transfers","",""
"","238","Invalid beneficiary phone number","Business APIs - QA","Tue Nov 26 12:02:46 GMT 2024","passed","Tue Nov 26 12:02:47 GMT 2024","Buy Data","Bill Payment","",""
"","232","Invalid pin","Business APIs - QA","Tue Nov 26 12:03:24 GMT 2024","passed","Tue Nov 26 12:03:24 GMT 2024","File Bulk Transfer > process-transfer","Transfers","",""
